nom,prenom,date_naissance,nb_presences,note,decision
Owona,Noëlle,18/04/1993,18,"9,4",En attente
Ateba,Céline,14/01/1995,17,1,Admis
Talla,Alice,24/03/1980,10,16,Recalé
Fotso,Alice,09/03/1996,15,17,Admis
Talla,François,03/12/1997,19,9,Admis
Ngo,Bonito,21/01/2002,19,6,Admis
Tchoumi,Aïcha,17/06/2002,7,12,En attente
Talla,Noëlle,16/06/2002,6,2,Admis
Ekani,Estelle,05/12/1983,14,"14,0",Recalé
Mballa,Désiré,23/04/2002,8,3,Recalé
Fotso,Léa,14/08/1985,3,1,En attente
Talla,François,28/07/2004,3,,Admis
Abena,François,10/05/1997,18,7,Recalé
Tchoumi,Rémy,07/09/1988,3,14,Admis
Sadjo,Bonito,26/09/1989,17,"8,8",En attente
Tchoumi,Aïcha,06/10/1995,8,11,Recalé
M'Bappe,Aïcha,19/07/1984,15,,En attente
Nkolo,Chloé,25/06/1988,14,7,Recalé
Sadjo,Aïcha,21/08/1982,20,18,
Ateba,Éric,16/06/1987,15,16,
Mballa,Désiré,10/06/1991,6,3,Admis
Tchoumi,Amélie,27/02/1980,1,17,Recalé
Kamga,Aïcha,03/07/1997,,19,Recalé
Ekani,Amélie,02/02/1981,5,13,Recalé
Assomo,Bonito,06/07/2000,19,"19,0",Recalé
M'Bappe,Estelle,22/06/1987,11,14,Recalé
Assomo,Théo,11/11/1996,18,6,Recalé
Sadjo,Amélie,09/02/1997,20,"9,7",Recalé
Ekani,Léa,14/07/2002,1,10,En attente
Biya,Noëlle,03/03/1981,2,8,En attente
Zang,Alice,18/11/1986,,18,Recalé
Kamga,Chloé,15/09/1986,10,"11,8",En attente
Zang,Estelle,07/03/1988,20,,
Abena,Aïcha,11/10/1998,4,16,
Ngo,Alice,27/06/1999,3,3,En attente
Njoya,Joël,06/07/1995,19,10,Admis
Assomo,Rémy,08/10/1997,18,,Recalé
Mballa,Chloé,28/02/1982,4,9,Recalé
Essomba,Désiré,15/03/1988,16,9,Admis
Essomba,Bonito,02/07/1986,13,1,En attente
Zang,Aïcha,14/07/1992,,9,Admis
Ateba,Bonito,08/12/1998,12,18,Admis
Abena,Régis,17/09/1983,19,17,Admis
Fouda,Alice,24/08/1993,13,20,En attente
Nkolo,Théo,14/01/2004,18,14,Admis
Nkolo,Régis,21/05/1983,1,"2,8",Recalé
N'Guessan,Chloé,20/01/1998,18,5,En attente
Essomba,André,28/07/1991,3,"11,9",Recalé
Ekani,Noëlle,28/03/1994,3,14,Recalé
Tchoumi,Chloé,26/02/1981,0,1,
Kamga,Léa,06/05/2000,15,,Recalé
Fotso,Chloé,12/08/1990,12,"3,9",En attente
Ateba,François,19/05/1994,20,18,Recalé
Fouda,Amélie,15/12/1987,20,0,Recalé
Assomo,François,11/07/1987,4,6,Recalé
Sadjo,Amélie,19/11/1994,11,18,En attente
Biya,Chloé,05/05/1995,0,14,Admis
Fotso,Éric,04/09/1991,14,"4,3",
Owona,Céline,06/02/2000,7,18,En attente
Essomba,Julie,11/05/2003,3,18,Admis
Fotso,Björn,15/12/1994,14,10,En attente
Kamga,M'Barka,10/06/1993,7,7,En attente
M'Bappe,M'Barka,12/07/1998,20,4,Admis
Mballa,Bonito,11/06/1993,20,15,Recalé
Ateba,François,04/05/2001,19,1,Recalé
Kamga,Chloé,13/12/1985,8,0,Admis
N'Guessan,Régis,04/03/1999,3,,En attente
Ekani,Théo,24/07/1997,4,0,En attente
Fouda,M'Barka,03/08/1996,13,,En attente
Ekani,Bonito,08/01/1989,18,20,Admis
Fotso,Aïcha,22/12/2003,,3,Admis
Kamga,Chloé,25/01/1994,14,12,En attente
Njoya,Noëlle,18/08/1985,11,9,Recalé
Biya,Léa,24/11/1996,10,"15,6",Recalé
Zang,Noëlle,26/12/1990,2,10,Admis
Essomba,Joël,27/01/2003,15,"9,2",Admis
N'Guessan,François,02/04/1983,16,,Admis
Ateba,Amélie,22/04/1994,18,15,Recalé
N'Guessan,Rémy,20/04/1990,7,4,En attente
Abena,Théo,24/05/1992,5,1,Admis
Ngo,Léa,14/12/1989,15,17,Admis
Nkolo,André,14/11/1998,5,,Recalé
Owona,François,26/07/1995,8,19,Admis
M'Bappe,Léa,16/05/2000,18,8,Recalé
Fotso,François,03/03/1993,18,"5,7",En attente
Zang,M'Barka,18/12/2002,8,"15,1",Recalé
Essomba,Rémy,07/08/1992,14,16,Admis
Sadjo,Julie,01/04/1998,10,1,Recalé
Njoya,Chloé,01/03/2004,17,16,Admis
Talla,M'Barka,21/08/1987,15,19,En attente
Fouda,Léa,18/07/1981,5,19,En attente
Assomo,M'Barka,28/08/1992,15,,En attente
Nkolo,Théo,16/05/2002,0,"7,4",En attente
Njoya,Désiré,06/02/1980,19,19,Admis
M'Bappe,Léa,20/11/1994,16,17,En attente
Njoya,François,24/07/1983,7,18,En attente
Mballa,Julie,02/01/2000,12,"7,7",Recalé
M'Bappe,M'Barka,26/12/1986,8,,Recalé
Sadjo,Amélie,28/06/1991,11,1,Recalé
Zang,Éric,07/03/1988,10,8,Recalé
Biya,Alice,07/04/1980,9,18,Recalé
Biya,Chloé,15/10/1997,12,7,Recalé
Talla,Régis,10/06/1983,5,7,Admis
Ekani,Bonito,16/02/1991,2,4,Admis
Abena,Noëlle,11/08/2000,5,14,En attente
Ekani,Aïcha,20/11/1983,10,"11,0",Recalé
M'Bappe,Céline,15/01/1998,19,"4,7",Admis
Biya,François,10/12/1981,12,7,En attente
Ateba,Aïcha,22/03/1992,11,12,Recalé
Ateba,François,02/01/1999,1,,
Talla,Régis,14/06/2004,7,2,Recalé
Kamga,Julie,11/09/1998,4,,Recalé
Ekani,Éric,03/01/1990,20,12,Recalé
Biya,Noëlle,27/11/1984,12,"8,6",En attente
Njoya,Julie,26/03/2003,7,8,Recalé
Tchoumi,Théo,23/02/1983,10,1,
